课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
数据素养与数据利用,通识选修课（公选课）,科学精神与生命关怀,刘霞、张宁,老师会介绍一些数据分析、数据提取的相关知识，但难度不是太大，平时回答问题会有加分，结课是小组共同完成一个数据分析报告并pre，老师很nice给分很好,会签到一到两次，平时会布置一些随堂作业，但很简单，都是课上讲过的操作,小组一起选一个主题做一次数据分析报告,92,,
西方建筑与艺术,通识选修课（公选课）,艺术体验与审美鉴赏,童乔慧,从古典讲到近代，介绍标志性的建筑风格和具体案例,会有几次手机签到，每次上课有简单的画画，有一个pre,平时画画+最后的pre,98,,
对联欣赏与写作,通识选修课（公选课）,艺术体验与审美鉴赏,王统尚,老师严格，但是不缺勤，作业认真完成还是可以得到一个不错的分数,平时上课会签到+抽人背诵，无小组展示，无论文，平时作业就是用方言念对联+赏析对联,一副长对联+两幅短对联,85,,
识读美国,通识选修课（公选课）,社会科学与现代社会,祝捷,美国建国后到一两百年的历史,有提问（主动回答），有三次作业,提交一千字英语论文结课，题目是America in your eyes,91,,
随机过程,专业课程,非公选课,邹镇涛,3次小测，不太适应老师讲课方式，建议做一些心理准备,没有作业，不考勤，不提问,开卷考试，虽然课上得很难但考得感觉不是很难,89,,
海外中国形象史,通识选修课（公选课）,中华文化与世界文明,李会玲,老师讲的挺好滴很生动形象，给分也不错听课就能满g,有两次大作业有签到，提问几乎没有没有小组展示,开卷考试会提供给你资料，你脑袋资料后扫几眼记住大概到时候直接去抄就可以,90,,
大学物理D,公共课（高数、线代、大物和思政课等）,非公选课,周利,老师人很好，上课比较直接，也很幽默，会直接说哪个考哪个不考,有签到码签到，可以让同学发，作业几乎每堂课都有，不过有答案,闭卷考试，然后统一阅卷，,93,,
大学体育1,体育课,非公选课,董一凡,结课篮球排球二选一，很能捞的老师,很轻松，签到不严，海底捞,篮球三步上篮，排球颠球,86,,
诺贝尔奖史话,通识选修课（公选课）,科学精神与生命关怀,周平,不知道不知道不知道不知道,不知道不知道不知道不知道,不知道不知道不知道不知道,1,,
法律与文化,专业课程,非公选课,廖奕,内容很杂，主要讲法律与人类学社会学等的交叉,一篇指定书目的读书笔记,一篇与课程内容相关的论文,90,,
高等数学B,公共课（高数、线代、大物和思政课等）,非公选课,邓昌松,邓老师讲了很清楚，给分也很好,每次课有作业，不怎么签到,只有期末考试＋平时作业,90,,
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵,很好很好很好很好很好很好,很自由很自由很自由很自由,开卷考试开卷考试开卷考试,95,,
演讲的艺术,英语课,非公选课,章毓文,上课很轻松，氛围特别好,无签到，平时作业有点多,开卷，买一本教材可以抄,90,,
遥感与生活,通识选修课（公选课）,科学精神与生命关怀,多位老师共同授课，每节课都会换,遥感与政治，经济，医疗，新闻等行业的联系,什么都没有非常省心，放心冲,论文一篇，畅所欲言即可,93,,
大英,公共课（高数、线代、大物和思政课等）,非公选课,夏静宇,基础的课文讲解，老师人很好,无点名，有两三次小组展示，课前单词quiz，很简单，视听说平时两三篇作文无iwrite,正常考试，结合平时展示,83,,
新生,通识选修课（公选课）,社会科学与现代社会,不知,啥！！！！！！！！！！！！,不知不觉已经开始期待了,不知不知不知不知不知不知,80,,
 世界桥梁,通识选修课（公选课）,艺术体验与审美鉴赏,万臻, 介绍关于桥梁的基本知识和赏析,有小组作业，不过都算有趣,俩论文……………………,90,,
病毒流行病与人类社会,通识选修课（公选课）,科学精神与生命关怀,徐可,可好？谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢,可哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,可以后面前面??面??面前几天能到家呀，,1,,
健身气功,体育课,非公选课,陈文英,太极 忘了两个操叫什么名字了,有点名，无平时作业，需要乐跑,分小组展示操，并且自编串联,92,,
高级英语,英语课,非公选课,黄雨,老师挺好的，事比较少给分好,平时上课会点名，期中有一次考试和写一篇作文，期末口语考试方式是pre,pre?期末考试，一般只要做了就满了,93,,
中国古代文学史（上）,专业课程,非公选课,程磊,大多讲述古代文学知识,有作业，平时点名一两次,闭卷考试，需要复习，给重点,90,,
戏曲审美导论,通识选修课（公选课）,艺术体验与审美鉴赏,易栋,给分超级好，老师超级好，易栋老师yyds,没有签到，但是会有建群啥的，有时会写对某一个戏曲的感受,小论文结课，非常简单就是啦,98,,
数学分析,专业课程,非公选课,周小方,很好的老师 上课很认真,平时分占40 很好拿分,考试结课 有原题很多很多,90,,
社交礼仪,通识选修课（公选课）,社会科学与现代社会,李帅男,大一新生，还不知道具体情况，只是想进入系统而已,大一新生，还不知道具体情况，只是想进入系统而已,大一新生，还不知道具体情况，只是想进入系统而已,60,,
青铜器鉴赏从古希腊到古中国,通识选修课（公选课）,中华文化与世界文明,张昌平,讲述两河流域和古中国商周时期的青铜器，算是科普，以后去博物馆可以根据上课所学大致辨认出年代。其实除了青铜器老师上课还会讲述许多学术研究中要注意的东西，讲述美学等等,不签到，平时可以不来。,论文结课（不少于2000字 ）,90,,
婚姻与家庭法,通识选修课（公选课）,社会科学与现代社会,李国庆,老师讲话声音太大了，有些听不清,只有期中的一篇小论文，发表一下见解,写一篇小论文.不少于3000字,86,,
音乐剧鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,吴靓,课上看了很多经典音乐剧，很有意义，老师讲的都是有用的知识,有考勤，论文节课，平时也有小论文作为作业,论文节课，关于特定音乐剧目或流派的分析,92,,
现代心理学视野,专业课程,非公选课,喻丰,喻丰老师的课不用多说～这门课会请很多不同心理学领域的老师或者学长姐来分享知识，主要是为了帮助开拓视野,没有签到，没有点名，没有作业,结课的时候交一篇不限字数的课程感想，超级轻松,100,,
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,教韩语的基础发音 单词 老师最后给分挺好的,基本没签到考勤 平常无作业,考试闭卷全都是选择题,96,,
西方美术鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,阮晴,很好 老师特别和蔼可亲,有签到 小作业 提问可额外加分,论文结课 有小作业 给分好,90,,
基督教与近代中国文学,通识选修课（公选课）,中华文化与世界文明,荣光启,老师人很好 给分也好,不点名 平时没作业 也不提问,写听课感谢（大概六七篇）,93,,
军事理论与训练,公共课（高数、线代、大物和思政课等）,非公选课,何华,何华老师真的很好！！期末会大捞！上课很认真，人真的很好！,有一次期中论文，题材字数全不限,全校组织的统一闭卷考试,91,,
古典音乐与西方文明,通识选修课（公选课）,艺术体验与审美鉴赏,葛佳嘉,上课听音乐，整体氛围轻松，人数很多,平时基本没作业，但会抽查到课率,闭卷考试，但老师要求很松，基本等于开卷,87,,
荆楚文化通论,通识选修课（公选课）,中华文化与世界文明,王萌,主要讲授楚文化相关知识,有三次签到，签到前会通知；有一次ppt展示,开卷考试，可携带电子产品查阅资料,91,,
线性代数B,公共课（高数、线代、大物和思政课等）,非公选课,胡新启,好！讲得深入浅出！平时问问题也很有耐心,没有签到、提问、小组展示，就只有期末考试,学校统一组织公共数学考试,87,,
《老子》《庄子》导读,通识选修课（公选课）,中华文化与世界文明,沈庭,讲了老子《道德经》，《庄子》里的《逍遥游》和《齐物论》。我觉得平时最好的是我们一群“陌生人”在群里“论道”，开开玩笑，沈老师每每说扶着墙才能看群消息（嘿嘿），还有为不认识的同学送生日祝福，很温暖很解压。课堂上，沈老师讲了不一样的道理，印象最深的是他说“无序才是这个世界最真实的状态，很多事情是说不上为什么的”，这句话打消了我的纠结和迷茫，对生活中出现的一些事也不再过于较真。感谢老庄，每次上都能缓解一星期的压抑。,手写签到了两三次，期中小论文一篇（500字），期末论文一篇（3000字）（plus:沈老师教你怎么水论文【doge】期中作业临近期末还可以交【doge】）,期末论文一篇（3000字），关于老庄精神的，分析《逍遥游》或者《齐物论》思想和现实意义，或者庄子哲学与中国艺术精神,96,,
女性健康管理,通识选修课（公选课）,科学精神与生命关怀,不知道,很好，可以学到知识，挺好的,还没开始搞所以不知道呢,平时分加考试分，回答问题加分,90,,
健康心理与压力应对,通识选修课（公选课）,中华文化与世界文明,杨冰香,老师很好，互动有趣。。,有签到，小组展示，论文，和大作业,小组论文，，，，，，，,96,,
世界桥梁建筑艺术赏析,通识选修课（公选课）,艺术体验与审美鉴赏,万臻,万臻老师特别特别好!上课内容也挺好，让人有所收获，和学生互动会比较频繁，只要平时上课基本都去应该成绩就不会差,上课和学生互动频繁，会让人回答问题，但一点不难，中间有阅读一本美学相关的书籍写读后感1000字以上，有一次户外看大桥，结课是小组设计桥梁，虽然我们组设计的不好但是老师还是给了我90以上，要看小组成员是否配合,设计桥梁 小组合作很重要,93,,
高数E,公共课（高数、线代、大物和思政课等）,非公选课,李大美,内容很简单，老师讲得很好，最后有两次复习课，认真听就可以满绩,不考勤基本上 平时作业也是书后面的,就是考试与平时作业，平时作业交了就行,90,,
大学英语2,英语课,非公选课,周彦渝,老师很认真，可以学到东西。只要认真完成任务感觉最后给分就挺好的,口语、视听说等等全都有，但是感觉自我能力还是提升了不少,考试，口语等等..........,91,,
消费者行为学,专业课程,非公选课,王楠,课程有趣，老师也很好,无签到，有小组展示和闭卷考试，但是会给范围,闭卷考试和小组展示，都还比较好做,87,,
摄影创作,通识选修课（公选课）,艺术体验与审美鉴赏,孔令罔,摄影技术技巧赏析技巧,经常要拍照片，比较麻烦,交出拍摄作品进行考核,80,,
演讲与口才,通识选修课（公选课）,社会科学与现代社会,忘记了??,这门课主要讲演讲的一些知识，但更多时候老师在讲小故事，还蛮有趣,不考勤，有四次平时作业，很简单,写一篇“如何讲好演讲”的演讲稿（当堂）,88,,
桥梁艺术鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,万,可以出校看长江大桥，做pre结课,有提问，有展示，无作业,小组展示设计桥梁，可以画可以打印,91,,
自然地理,通识选修课（公选课）,科学精神与生命关怀,代侦勇,课程比较轻松，平时课程并不难,两次作业一次论文或考试，只有最后一次课考勤,论文，字数要求不高，查重率要求很低,85,,
中国现代视觉文化,通识选修课（公选课）,艺术体验与审美鉴赏,张园，还有一个忘记了,鉴赏电影，视觉化创作,无考勤，有一次小组展示，论文结课,论文结课，老师在后两周会公布题目,83,,
体育,体育课,非公选课,赵继斌,给分一般，，，，    ,有签到，，，，，    ,期末考试，，，，，，，，，,94,,
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,王渊,老师超级幽默风趣，超爱！内容也并不高深，大家都能懂，主要是科普的作用,有三次小测，不签到点名,开卷考试（可用电子产品+部分题目小测中做过，但是翻页速度很快有的来不及查,94,,
 ,英语课,非公选课, ,          ,          ,          ,0,,
素质体育1,体育课,非公选课,刘振清,上课很轻松，老师给分也不错,上课会让体育委员点到，正常请假都会批准,按照学校规定，有体能测试，乐跑等,91,,
环境保护与规划,专业课程,非公选课,田丰,主要讲地理相关的基础知识，老师人很好讲得也很好,每堂课要用雨课堂进行实时答题，只要答了就好，正确率不影响成绩，只有一次简单的小作业,完成一次平时作业，期末是开卷考试,92,,
社会法,专业课程,非公选课,喻术红,特别好！课程轻松 ！能学到真知识，给分也好,手写签到加期末开卷，无其他任务,开卷考试，可以带一切纸质材料,92,,
汉字源流,专业课程,非公选课,郭婷婷,非常好，适合大一新生,签到和小组作业 偶尔app回答问题,小组作业成品展示结课,90,,
数学物理方法,专业课程,非公选课,周国全,周老师讲的非常好，非常硬核,平时会有课后作业，有期中考试,期末考试，总分由平时成绩期中期末组成,80,,
大学英语2,英语课,非公选课,庞晓兰,讲课认真，偶尔听写，小组作业要求比较严格,几乎没有签到，提问较少，小组展示比较严格,大学英语的基本要求。,80,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,程学光,十分推荐 给分好事情少,有日常作业期末闭卷考试,全校闭卷统一考试同意判卷,86,,
微波技术,专业课程,非公选课,顾旭东;倪彬彬;张兰,开卷考试，重点就前面两章，最后两章当时没听也没怎么看，考试现看直接照搬公式填数据。这个老师给分很好，俩室友选的另一个都只给了七十几分,有签到，作业能找到答案，有实验,开卷考试，纸质资料都可以带,93,,
语言与国情,通识选修课（公选课）,中华文化与世界文明,王宇波,主要介绍全球的语言语系等，老师人非常好，很轻松，分超高,我是三学期上的，无考勤无提问，有一次小组展示，很轻松,开卷考试，可以带电子产品,96,,
中国语言与文化,通识选修课（公选课）,中华文化与世界文明,文学院王统尚等老师，一人一节课,"讲述文字学的知识

评价：不建议选，事多，给分可以，不同老师风格不一样，总体来说，学不到东西",有可能签到，有两次作业,结课要求分小组做一个关于古文字的手工，而且要最后当堂讲解和展示,90,,
中外园林品赏,通识选修课（公选课）,艺术体验与审美鉴赏,武静,老师很温柔讲的超好！,两次小组展示，无签到，无提问,开卷考很简单，老师很好的,93,,
人文地理研究,专业课程,非公选课,孔雪松,对开展研究有启发，老师很有趣,只上了一次课，没说要求，应该是论文结课,只上了一次课，没说要求，应该是论文结课,0,,
太极文化与健康,通识选修课（公选课）,中华文化与世界文明,蔺志华,主要教我们打坐，黄帝内经之类的,有一次签到，一次展示,大家相互交换礼物，上台随便说说自己的感想就好了，老师超好，事情也少,92,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,主要讲寄生虫学，跟临床基本重复不过更简单,基本不签到有论文和看片子,论文，抄PPT基本可以给好分,90,,
法经济学,专业课程,非公选课,吴宇,涉及法律与经济，内容较简单,无考勤，期末开卷考试,开卷考试，带上笔记就能拿高分,89,,
数字地形测量,通识选修课（公选课）,科学精神与生命关怀,李晖,"老师人真的好，爱您
",基本不点名，无签到，无提问，无小组展示，做计算机考试小作业和大作业，给分好,做一个大作业，使用word   PPT  excel,90,,
肿瘤离我们有多远,通识选修课（公选课）,科学精神与生命关怀,宋启斌,非常nice的课，每节课是讲座方式（会提前1h下课,不定期签到签到，无平时作业,论文5k字结课，无其他要求,90,,
羽毛球,体育课,非公选课,晋会峰,主要教如何正确发球和不同情况的接球接球,最好不要缺课，很容易被发现，平时上课就是与小组同学一起练球，课后也不需要花很多时间练习,和小组同学对打，老师会对你的发球和接球打分,96,,
围棋,体育课,非公选课,忘了就那一个老师,贼好强烈安利不签到随便去,都没有，就期末一次考试很简单,一张卷子很简单，老师会先给模拟卷很一样,90,,
高数b,公共课（高数、线代、大物和思政课等）,非公选课,赵燕芬,给分好讲的好而且事少 改作业比较认真（纯抄的会被发现）,不签到不提问只有期末,正常统一闭卷期末考试,96,,
工程水力学,专业课程,非公选课,曾玉红/陆晶,主要讲授部分水力学与部分流体力学（最后会有讲解考试重点，要去！！！）,考勤主要靠课前不定时点名,闭卷考试，60%考试，20%平时，20%考勤,93,,
线性代数C,公共课（高数、线代、大物和思政课等）,非公选课,马利敏,马利敏，很温柔的小姐姐，每周课后发布课件和作业，平时不点名，最后一周的备考讲授特别棒，是隐藏惊喜哟,平时不点名，有三次随堂测验，每周一次作业,期末考试占60左右，平时成绩占40左右,99,,
python与算法思维,通识选修课（公选课）,科学精神与生命关怀,熊素萍,给分很好！！！结课没有考试只有展示，平时作业完成就能满绩,有编程小练习，有签到，结课是小组展示,pre展示，不用考试！！！,97,,
线代,公共课（高数、线代、大物和思政课等）,非公选课,杜光保,跟着老师的进度走，平常把老师的作业按时完成，期末再刷刷试卷基本就能90+。老师是有教学课、习题课的区分的，习题课不会的题目可以问老师，不会出现群里一直没老师应答的情况,无签到、提问，平时分感觉是按作业提交和期中、期末成绩来给,考试吧，有期中考试，无其他要求,91,,
素质体育,体育课,非公选课,汪娟,呵呵千万别选，班上60多的超级多,会点名，不过这方面管的还是很松,反正给分特别差，我体育八百米满分跳远满分最后才勉强过90甚至可能还是班里唯一一个,90,,
网球2,体育课,非公选课,赵继斌,很好的老师，根据学生学习情况会调整考核难度，有一定运动细胞就可以选，给分很高,有签到，没有平时作业,上手发球10个，对墙打三十个还是五十个忘了，对墙打可以换成和搭档对打十个回合。然后就是立定跳远或者引体向上之类的,99,,
高等数学E1,公共课（高数、线代、大物和思政课等）,非公选课,周明春,讲的一般 有时候听不懂 风格讽刺 不会捞,每次作业+周明春会记住每一张脸,普通的期末闭卷考试 题目难度不一定 ,80,,
太极拳,体育课,非公选课,崔德刚,有点类似大一体育课的太极拳教学，学十几式然后考试是从头打到尾。老师比较重视上课的认真程度。,签到不多，一般都是睁一只眼闭一只眼,把学过的拳从头打到尾,86,,
流行音乐的历史、风格与审美,通识选修课（公选课）,艺术体验与审美鉴赏,王渊,音乐的发展史，一节课一个主题风格，讲课很精彩，还有乐器演奏环节,无签到，提问小组展示，只有一篇结课论文,只有一篇结课论文，给分都很棒，也会有反馈,94,,
大物D,公共课（高数、线代、大物和思政课等）,非公选课,周利,老师上课比较自由，偶尔签到,有签到，每章都有作业,闭卷考+期中考...,70,,
无,通识必修课（导引课）,非公选课,无,无哦哦口蘑没看见你的,无爸爸的手机壳的兔兔那么可爱的人,无春节快乐，万事如意，,98,,
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,宇宙相关内容，老师很有趣,不签到，无其他作业，很轻松,开卷考试，一般要有老师的书,95,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌等四个老师,讲一些寄生虫有关的zhis,不考勤补不签到！！不用去上课！！有一个调查问卷需要填 两次quiz（开放好几天自己搜一下就行）,只有一个三千字以内结课论文 不查重！！,93,,
简牍与秦汉文化,通识选修课（公选课）,中华文化与世界文明,黄海波,讲了简牍与秦汉文化。。老师人很好，讲的有意思而且有东西。,据老师说只在人少的时候点名。无提问，有小组展示，有期末作业。,要交2000字论文。,90,,
都市病,通识选修课（公选课）,科学精神与生命关怀,王,很水给分高........,签到..........,"论文........
",95,,
学术写作,公共课（高数、线代、大物和思政课等）,非公选课,王渊,学术论文选题、写作、规范等,期末两次个人展示，没有签到，会有互动，不会强制提问,提交一份由自己选题的论文框架,94,,
治水与社会发展,通识选修课（公选课）,科学精神与生命关怀,谢华,会分享很多治水的案例，会有两三周由另两位老师分别授课，有海绵城市等内容，还会带到户外讲解，挺有意思的课,会有提问，自愿回答，会有小组讨论，一次ppt展示,写2000字以上的论文，主题没有限制（还可以写观后感,90,,
自然科学经典导引,通识必修课（导引课）,非公选课,怀念,老师的水平不错，挺有货，就是授课形式相对来说单一了些,每节课作业均为小组汇报，汇报形式相对固定，老师会给每小组提供文章资料和对应问题，需归纳资料回答问题并提出自己观点。,结课论文，可自选题目，与学习内容相关,90,,
法语二外,专业课程,非公选课,秦剑,基础法语发音与语法 交流口语,有签到 无pre 期末口语结课,线上口语 正常应该是闭卷考试,87,,
鲁迅名篇赏析,通识选修课（公选课）,中华文化与世界文明,余蔷薇,平时点名比较勤，但课很水，期末考核开卷考试三道大题，赏析鲁迅文章，给分比较好,点名比较勤，有小组展示,开卷考试占50%-60%,93,,
世界文明史,通识选修课（公选课）,中华文化与世界文明,潘迎春,上课很清闲，但给分不好,有签到，每节课后有题，最后开卷考,只有一个期末的开卷考试,76,,
语言学概论,专业课程,非公选课,郭婷婷,语言学知识，老师很好,签到，课堂讨论，考试,闭卷考试，平时作业有记录一些语言学知识之类的,96,,
能源与可持续发展,通识选修课（公选课）,科学精神与生命关怀,熊立红,讲一些能源方面的相关知识，介绍不同能源，以及节能方面,每堂课都需要签到，没有平时作业,开卷考试（可带手机电脑）,96,,
    ,专业课程,非公选课,    ,                           ,                           ,                    烦请删除,114514,,
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,江柏安老师 站在金字塔尖的老师！！！水平高 学生爱！！！,只有一个期末考 但是推荐大家去上课 真的是不可多得的绝妙感受,开卷选择 江老师还会把答案送进每个人的耳朵,99,,
世界军事史,通识选修课（公选课）,中华文化与世界文明,忘了,讲述军事历史，到二战结束,没考勤，有小组展示，没有签到,开卷考试，可以打印资料，原则上不准看手机,77,,
当代国际经济热点问题,通识选修课（公选课）,社会科学与现代社会,胡艺,不考勤，开卷考试。。。。,不考勤。。。。。。。。,开卷考试。。。。。。。。,90,,
神奇的人体免疫,通识选修课（公选课）,科学精神与生命关怀,罗凤玲,我并没有什么想说的话,我还没有上，上了才知道,我还没有上，上了才知道,100,,
跨文化交际,通识选修课（公选课）,社会科学与现代社会,金琳,讲述不同国家的文化差异和原因，PPT讲例子，可以水，但很有趣，能了解不少东西,签到，有时抽人说说想法,小组pre，同学现场打分，加一篇两千字论文,91,,
中国优秀传统文化,通识选修课（公选课）,中华文化与世界文明,刘水静,学习中华文化中的各家思想及核心概念,无平时作业无签到，期末开放题结课,两题与课程内容相关的开放题,92,,
3D技术与应用,通识选修课（公选课）,社会科学与现代社会,黄先锋,还没上，不知道不知道,还没上，不知道不知道,还没上，不知道不知道,100,,
高级英语,英语课,非公选课,黄承英,老师性格特别好，给分好，强推,有提问和小组讨论展示，轮流发言，一周一次作业，视听说和阅读教程要做,期末统一考试，口语抽题对话,92,,
知识论经典问题,通识选修课（公选课）,中华文化与世界文明,潘磊,听说不好，不知道刚选,不知道，真的不知道不知道,不知道不知道不知道呢,111,,
形体,体育课,非公选课,陈慧,老师真的特别特别好 像一个大姐姐,每节课点名 老师每节课会带着做一些塑形运动,展示所学内容 会给很长很长时间练的,93,,
遥感原理与应用,专业课程,非公选课,周军其,讲遥感原理，讲的一般，老师是个死直,考勤，每节课都布置一堆看不懂的作业,闭卷考试，占百分之六十,84,,
军事理论与训练,公共课（高数、线代、大物和思政课等）,非公选课,陆保生,老师很有意思，讲课很给力,有签到无提问，无小组展示,写一篇论文，别的没有了,85,,
天文学概论,通识选修课（公选课）,科学精神与生命关怀,罗佳,天文学的基本知识，涉及中国和西方的天文学历史以及一些天文分辨和计算方法。比较深入浅出，老师讲课认真，内容也很有趣。,无签到、提问、小组展示。平时作业是一些课后题，当堂完成。,闭卷考试                 ,87,,
新时代中国特色大国外交与国际关系,通识选修课（公选课）,中华文化与世界文明,赵嵘,老师人很好，给分不错，适合划水,一次小组展示和一份报告，两次课堂作业,第三学期是开卷考试，两道大题，题目会提前说,90,,
中国书法基础,通识选修课（公选课）,艺术体验与审美鉴赏,萧圣中,主要就是练毛笔字（隶书），只要每节课都练练字就行,一个学期会收三次课堂上练习的字,期末考试就是写16个字，考的字老师会发在课程群里，写的认真一点就好,91,,
中外近现代关系,通识选修课（公选课）,中华文化与世界文明,王萌,给分好，不点到，老师人很好 超有趣,没有平时作业也不点到,开卷考试，可带电子产品,95,,
思想道德与法治,公共课（高数、线代、大物和思政课等）,非公选课,雷山漫,不想每节课签到每节课点名提问的同学退退退,签到提问展示该有的都有,期末考试结课，平时分占比高,88,,
当代国际经济热点问题,通识选修课（公选课）,社会科学与现代社会,胡艺,"老师上课还算有意思，平时没有考勤签到,期末开卷考试，八道简答题任选四道，问题基本都是平时讲过、PPT里大致能查到的",无考勤签到，无平时作业，无小组展示、提问，就最后开卷考试，比较轻松，给分也还行,期末开卷考试，八道简答题任选四道,86,,
创新思维与方法,通识选修课（公选课）,科学精神与生命关怀,谢皓,老师人很幽默风趣，非常好,日常签到，有一次合作展示比较重要，期末是填写作业形式,就是填写一下他发的作业题目，相当于一个课程学习报告,91,,
语言探微,专业课程,非公选课,很多,比较专业 有的有点听不懂,会有签到 有的老师会点人提问 结课是问答题,问答题 很多道 可以选择答,93,,
毛概,通识选修课（公选课）,社会科学与现代社会,陈慧女,管的严，有考勤，缺五次就会没有平时分,有签到的，会有提问，可以补平时分,考试加平时分加每年要求可能不一样,88,,
大英12 ,英语课,非公选课,鲁亚侠,老师很好，很亲和，英语发音很好,有提问 一个学期一次pre 其他的都是正常的英语作业,期末考试?平时成绩再算百分比,90,,
西方文论史,专业课程,非公选课,李佳奇,导读西方文论的名家，需要一些哲学基础,有提问 最后四千字论文,四千字论文 要求稍微较高,88,,
英国社会与文化,英语课,非公选课,文婷,屁事多，不捞人，隔几分钟随机点名，大雷！！！！,屁事多，不捞人，隔几分钟随机点名，大雷！！！！,期末。。。。。。。。。,0,,
python,专业课程,非公选课,高建华,python相关的简单内容，数院最简单的专必,人少的时候点个名，每节课有几个上机作业，有2-3人小组的数据处理大作业，关于大作业要上去做个pre,大作业+期末手写考试（选择题，纠错题，写程序之类的）,97,,
俄罗斯历史,通识选修课（公选课）,中华文化与世界文明,忘了,前两节上课，最后一节课看视频,基本没有提问，平时作业就是小组展示,小组展示然后加论文结课,88,,
公共经济学,专业课程,非公选课,卢盛峰,一些公共经济学的基础知识,有一两次签到，平时要上去展示一次，作业是写读书笔记,闭卷考试，大概占百分之五十几吧,85,,
景观地学与欣赏,通识选修课（公选课）,科学精神与生命关怀,刘小燕,我是新生啊啊啊啊啊啊啊啊,我是新生啊啊啊啊啊啊啊啊,我是新生啊啊啊啊啊啊啊啊,0,,
高数,公共课（高数、线代、大物和思政课等）,非公选课,李大美,老师平时和蔼，最后给分还可以。,没有签到，作业分单双号，交替交作业,期末考试，闭卷考试，全部都是大题，没有选择填空,78,,
英语国家概况,英语课,非公选课,李佳莉,给分超级好，没有词汇，内容很简单！！,作业，签到，小组展示,平时小测+期末考试+清华社+平时作文,88,,
女性健康与管理,通识选修课（公选课）,科学精神与生命关怀,程艳香,女性健康知识科普。。。。,考勤一次，小组展示一次,考试，开卷考试，，，,98,,
古代汉语,专业课程,非公选课,刘翔宇,老师人很和蔼，音韵学方面很精通！！,基本不签到，上课提问，无小组作业，两次大作业，抄五经文字，古诗标平仄,考试哈哈哈哈哈哈哈哈哈,95,,
俄罗斯历史,通识选修课（公选课）,中华文化与世界文明,牟沐英,三节晚课，第一节小组展示，第二节讲课，第三节看视频，比较轻松自由，小组展示时间较长，但形式很灵活,基本不签到，有一次小组展示,不低于3000字的论文,85,,
大学英语b,英语课,非公选课,杨小艳,外院小语种的英语课，老师认真负责温柔还会捞捞,有签到，有提问，小组表演，日常做清华社和iwrite的作业,口语随堂考加线下笔试，老师会提前画重点,90,,
乒乓球,体育课,非公选课,汪杰,课很水，但是老师什么也不教，全靠自学,社交作业，课后练习作业,两人对攻，，，，，，，，,91,,
微生物,专业课程,非公选课,彭芳,老师讲的很好啦，谢谢老师,有三次平时作业，偶尔有签到,是闭卷考试，考试还是有难度的,80,,
大学交际英语,英语课,非公选课,张青,这个老师人很好，但比较负责感觉事情会很多,有签到，有提问，有小组讨论等等都有,百分之五十平时分，百分之五十期末分,85,,
核能及其应用,通识选修课（公选课）,科学精神与生命关怀,余亮英,老师很好，上课会讲一些自己的有趣经历,没签到，作业几乎没有,一篇一到两千字手写论文，无查重,93,,
西方哲学史,通识选修课（公选课）,社会科学与现代社会,赵林 苏德超,很有意思的西方哲学史，两个老师都很有趣,无签到无提问无作业基本可以什么都不干,开卷考试并且可以带电子产品,83,,
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,讲宇宙知识 还可以看星星,没有点名 没有平时作业,考试 有书就行 好像也可以上网查,94,,
中国古典园林鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,宋菊,中国建筑模型 屋顶类型 园林鉴赏,有签到 提问加分 没有平时的作业,开卷考试 纸质材料 不能带电子设备,95,,
现代管理学,通识选修课（公选课）,社会科学与现代社会,胡吉明,现代管理学的一些理论，老师人很好，可用弹幕交流。,无点名签到，不需要小组,闭卷考试，考一些经典的管理学理论，结合自身生活理解,93,,
高级交际英语1,英语课,非公选课,徐义志,老师上课很温柔很风趣！鼓励所有同学都积极参与，活跃课堂,有提问，有小组展示，也有作文要写，上课需要签到,综合考虑期中期末考试，平时考勤，作业等种种因素,80,,
军理,公共课（高数、线代、大物和思政课等）,非公选课,何华,何华老师上课很热情，慷慨激昂,考勤还行，无签到，有一篇论文当作平时作业，给分很好,全校统一考试，老师给分很良心,95,,
马原,公共课（高数、线代、大物和思政课等）,非公选课,杨偲劢,老师真的很可爱，讲课也很有意思,不定时签到，会突然签，小组展示是学术报告?汇报或做一个长视频，结课闭卷考,期末要求，闭卷考试，内容比较多,88,,
